kode_kecamatan,kecamatan,adm4
district_code,district_name,11.01.01.1001
120502,Salapian,11.01.01.1349
120503,Kuala,11.01.01.1191
120504,Sei Bingai (Sei Binge / Bingei),11.01.01.1350
120505,Binjai,11.01.01.1351
120506,Selesai,11.01.01.1352
120507,Stabat,11.01.01.1353
120508,Wampu,11.01.01.1354
120509,Secanggang,11.01.01.1355
120510,Hinai,11.01.01.1356
120511,Tanjung Pura (Tanjungpura),11.01.01.1357
120512,Padang Tualang,11.01.01.1358
120513,Gebang,11.01.01.1359
120514,Babalan,11.01.01.1360
120515,Pangkalan Susu,11.01.01.1361
120516,Besitang,11.01.01.1362
120517,Sei Lepan,11.01.01.1363
120518,Berandan Barat (Brandan Barat),11.01.01.1364
120519,Batang Serangan,11.01.01.1365
120520,Sawit Seberang,11.01.01.1366
120521,Sirapit (Serapit),11.01.01.1367
120522,Kutambaru,11.01.01.1368
120523,Pematang Jaya,11.01.01.1369
120601,Kabanjahe,11.01.01.1370
120602,Berastagi (Brastagi),11.01.01.1371
120603,Barusjahe (Barus Jahe),11.01.01.1372
120604,Tigapanah (Tiga Panah),11.01.01.1373
120605,Merek,11.01.01.1374
120606,Munte,11.01.01.1375
120607,Juhar,11.01.01.1376
120608,Tigabinanga (Tiga Binanga),11.01.01.1377
120609,Laubaleng,11.01.01.1378
120610,Mardingding (Mardinding),11.01.01.1379
120611,Payung,11.01.01.1380
120612,Simpang Empat,11.01.01.1381
120613,Kutabuluh (Kuta Buluh),11.01.01.1382
120614,Dolat Rayat,11.01.01.1383
120615,Merdeka,11.01.01.1384
120616,Naman Teran (Nama Teran),11.01.01.1385
120617,Tiganderket,11.01.01.1386
120701,Gunung Meriah,11.01.01.1387
120702,Tanjung Morawa,11.01.01.1388
120703,Sibolangit,11.01.01.1389
120704,Kutalimbaru,11.01.01.1390
120705,Pancur Batu,11.01.01.1391
120706,Namo Rambe (Namorambe),11.01.01.1392
120707,Biru-Biru (Sibiru-biru),11.01.01.1393
120708,STM Hilir (Sinembah Tanjung Muda Hilir),11.01.01.1394
120709,Bangun Purba,11.01.01.1395
120719,Galang,11.01.01.1396
120720,STM Hulu (Sinembah Tanjung Muda Hulu),11.01.01.1397
120721,Patumbak,11.01.01.1398
120722,Deli Tua,11.01.01.1399
120723,Sunggal,11.01.01.1400
120724,Hamparan Perak,11.01.01.1401
120725,Labuhan Deli,11.01.01.1402
120726,Percut Sei Tuan,11.01.01.1403
120727,Batang Kuis,11.01.01.1404
120728,Lubuk Pakam,11.01.01.1405
120731,Pagar Merbau,11.01.01.1406
120732,Pantai Labu,11.01.01.1407
120733,Beringin,11.01.01.1408
120801,Siantar,11.01.01.1409
120802,Gunung Malela,11.01.01.1410
120803,Gunung Maligas,11.01.01.1411
120804,Panei,11.01.01.1412
120805,Panombeian Panei / Pane,11.01.01.1413
120806,Jorlang Hataran,11.01.01.1414
120807,Raya Kahean,11.01.01.1415
120808,Bosar Maligas,11.01.01.1416
120809,Sidamanik,11.01.01.1417
120810,Pamatang Sidamanik (Pematang Sidamanik),11.01.01.1418
120811,Tanah Jawa,11.01.01.1419
120812,Hatonduhan,11.01.01.1420
120813,Dolok Panribuan,11.01.01.1421
120814,Purba,11.01.01.1422
120815,Haranggaol Horisan (Haranggaol Horison),11.01.01.1423
120816,Girsang Sipangan Bolon,11.01.01.1424
120817,Dolok Batu Nanggar,11.01.01.1425
120818,Huta Bayu Raja,11.01.01.1426
120819,Jawa Maraja Bah Jambi,11.01.01.1427
120820,Dolok Pardamean,11.01.01.1428
120821,Pematang Bandar,11.01.01.1429
120822,Bandar Huluan,11.01.01.1430
120823,Bandar,11.01.01.1247
120824,Bandar Masilam,11.01.01.1431
120825,Silimakuta,11.01.01.1432
120826,Dolok Silou (Dolok Silau),11.01.01.1433
120827,Silou Kahean,11.01.01.1434
120828,Tapian Dolok,11.01.01.1435
120829,Raya,11.01.01.1436
120830,Ujung Padang,11.01.01.1437
120831,Pamatang Silima Huta (Pematang),11.01.01.1438
